,Name,Genre
520,Atelier Iris 3: Grand Phantasm (JP Sales),8
521,Atelier Iris 3: Grand Phantasm (US Sales),8
522,Atelier Iris: Eternal Mana,8
523,Atelier Meruru: Alchemist of Arland 3,8
524,Atelier Rorona: Alchemist of Arland,8
525,Atelier Shallie Plus: Alchemists of the Dusk Sea,8
526,Atelier Shallie: Alchemists of the Dusk Sea,8
527,Atelier Sophie: The Alchemist of the Mysterious Book,8
528,Atelier Totori: The Adventurer of Arland,11
529,Athens 2004,6
530,Atlantic Quest,9
531,Atlantis,6
532,Atomic Betty,9
533,Attack of the Movies 3D,1
534,Attack on Titan (KOEI),1
535,Attack on Titan: Humanity in Chains,1
536,Auto Destruct,7
537,Auto Modellista,7
538,Automobili Lamborghini,8
539,Avalon Code,1
540,Avatar: The Game,2
541,Avatar: The Last Airbender,2
542,Avatar: The Last Airbender - Into the Inferno,1
543,Avatar: The Last Airbender - The Burning Earth,8
544,Away: Shuffle Dungeon,6
545,Azada,8
546,Azure Dreams,1
547,Azure Striker Gunvolt: Striker Pack,1
548,Azurik: Rise of Perathia,2
549,B's-LOG Party♪,10
550,B-17: Fortress in the Sky,4
551,B-Boy,11
552,"BCFX: The Black College Football Xperience, The Doug Williams Edition",4
553,BIT.TRIP COMPLETE,4
554,BIT.TRIP SAGA,11
555,BMX XXX,9
556,BRAHMA Force: The Assault on Beltlogger 9,10
557,Baby Pals,10
558,Babysitting Mama,10
559,Babysitting Mania,11
560,Back At The Barnyard: Slop Bucket Games,2
561,Back to the Future: The Game,4
562,Backstreet Billiards,11
563,Backyard Baseball,11
564,Backyard Baseball '09,11
565,Backyard Baseball '10,11
566,Backyard Baseball 2006,11
567,Backyard Basketball,11
568,Backyard Hockey,11
569,Backyard NBA Basketball,11
570,Backyard NFL Football,11
571,Backyard NFL Football '08,11
572,Backyard NFL Football '09,11
573,Backyard NFL Football '10,11
574,Backyard NFL Football 2006,11
575,Backyard Skateboarding 2006,11
576,Backyard Soccer,11
577,Backyard Sports Football: Rookie Rush,11
578,Backyard Sports: Sandlot Sluggers,3
579,Backyard Wrestling 2: There Goes the Neighborhood,3
580,Backyard Wrestling: Don't Try This at Home,1
581,Bad Apple Wars,9
582,Bad Boys: Miami Takedown,4
583,Bae Yong-joon to Manabu Kankokugo DS,8
584,Bahamut Lagoon,7
585,Baja: Edge of Control,1
586,Bakemonogatari Portable,6
587,Baku Baku,1
588,Bakugan Battle Brawlers: Defenders of the Core,1
589,Bakugan: Battle Brawlers,1
590,Bakugan: Battle Trainer,12
591,Bakugan: Rise of the Resistance,2
592,Bakumatsu Koihana: Shinsengumi DS,2
593,Bakumatsu Renka: Karyuu Kenshi-den,1
594,Bakumatsu Rock,4
595,Bakumatsu Rock: Ultra Soul,7
596,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,7
597,Bakusou Kyoudai Let's & Go!! Eternal Wings,8
598,Baldur's Gate: Dark Alliance,8
599,Baldur's Gate: Dark Alliance II,1
600,Ball Breakers,11
601,Ballblazer Champions,6
602,Ballistic,9
603,Ballistic: Ecks vs. Sever,5
604,Balloon Fight,6
605,Balloon Pop,6
606,Balloon Pop 2,11
607,Balls of Fury,4
608,Band Hero,9
609,Bangai-O Spirits,5
610,Banjo-Kazooie,5
611,Banjo-Kazooie: Grunty's Revenge,5
612,Banjo-Kazooie: Nuts & Bolts,7
613,Banjo-Pilot,5
614,Banjo-Tooie,1
615,Bank Heist,11
616,Banushi Life Game: Winner's Circle,3
617,Barbarian,5
618,Barbie Explorer,4
619,Barbie Fashion Show: An Eye for Style,4
620,Barbie Groovy Games,11
621,Barbie Horse Adventures: Blue Ribbon Race,11
622,Barbie Horse Adventures: Riding Camp,11
623,Barbie Horse Adventures: Wild Horse Rescue,11
624,Barbie Super Sports,4
625,Barbie Superpack: Secret Agent / Groovy Games,1
626,Barbie and Her Sisters Puppy Rescue,1
627,Barbie and the Magic of Pegasus,2
628,Barbie and the Three Musketeers,2
629,Barbie as The Island Princess,2
630,Barbie as the Princess and the Pauper,2
631,Barbie in The 12 Dancing Princesses,1
632,Barbie: Groom and Glam Pups,4
633,"Barbie: Jet, Set & Style!",1
634,Barbie: Race & Ride,1
635,Barnstorming,1
636,Barnyard,5
637,Barnyard Blast: Swine of the Night,8
638,Baroque,11
639,Baseball,11
640,Baseball Advance,11
641,Baseball Blast!,11
642,Bases Loaded '96: Double Header,11
643,Basketball Hall of Fame Ultimate Hoops Challenge,11
644,Bass Hunter 64,11
645,Bass Landing,11
646,Bass Pro Shops: The Hunt,11
647,Bass Pro Shops: The Strike,11
648,Bass Rise,11
649,Bass Strike,11
650,Bassmasters 2000,8
651,Bastard!! Utsuro Naru Kamigami no Utsuwa,8
652,Baten Kaitos Origins,8
653,Baten Kaitos: Eternal Wings and the Lost Ocean,1
654,Batman & Robin,1
655,Batman Begins,1
656,Batman Beyond: Return of the Joker,1
657,Batman Forever: The Arcade Game,2
658,Batman: A Telltale Game Series,1
659,Batman: Arkham Asylum,1
660,Batman: Arkham City,1
661,Batman: Arkham Knight,1
662,Batman: Arkham Origins,1
663,Batman: Arkham Origins Blackgate,1
664,Batman: Dark Tomorrow,7
665,Batman: Gotham City Racer,1
666,Batman: Rise of Sin Tzu,1
667,Batman: The Brave and the Bold the Videogame,2
668,Batman: Vengeance,12
669,Battalion Wars,12
670,Battalion Wars 2,4
671,Battle & Get! Pokemon Typing DS,3
672,Battle Arena Toshinden,3
673,Battle Arena Toshinden 2,3
674,Battle Arena Toshinden 3,3
675,Battle Arena Toshinden Remix,3
676,Battle Arena Toshinden URA,1
677,Battle Assault 3 featuring Gundam Seed,12
678,Battle Commander: Hachibushu Shura no Heihou,11
679,Battle Dodge Ball,9
680,Battle Engine Aquila,3
681,Battle Fantasia,12
682,Battle Hunter,8
683,Battle Princess of Arcadias,9
684,Battle Rage,11
685,Battle Soccer: Field no Hasha,8
686,Battle Spirits: Digital Starter,8
687,Battle Spirits: Hero's Soul,8
688,Battle Spirits: Kiseki no Hasha,3
689,Battle Stadium D.O.N,12
690,Battle Stations,12
691,Battle Worlds: Kronos,12
692,Battle of Giants: Dinosaurs,12
693,Battle of Giants: Dinosaurs Strike,12
694,Battle of Giants: Dragons,12
695,Battle of Giants: Mutant Insects,4
696,Battle vs. Chess,1
697,BattleBots: Beyond the BattleBox,12
698,BattleForge,1
699,BattleTanx,1
700,BattleTanx: Global Assault,9
701,Battleborn,1
702,Battlebots: Design & Destroy,9
703,Battlefield 1942,9
704,Battlefield 1942: The WW II Anthology,9
705,Battlefield 2,9
706,Battlefield 2142,9
707,Battlefield 2: Modern Combat,9
708,Battlefield 2: Modern Combat(JP sales),9
709,Battlefield 3,9
710,Battlefield 4,9
711,Battlefield Vietnam,9
712,Battlefield: Bad Company,9
713,Battlefield: Bad Company 2,9
714,Battlefield: Hardline,12
715,Battles of Prince of Persia,6
716,Battleship / Connect Four / Sorry! / Trouble,9
717,Battlestar Galactica,12
718,Battlestations: Midway,12
719,Battlestations: Pacific,9
720,Battlezone,12
721,Battlezone: Rise of the Black Dogs,1
722,Bayonetta,1
723,Bayonetta 2,11
724,Beach Spikers: Virtua Beach Volleyball,7
725,Beamrider,4
726,Beastly,6
727,Beastly Frantic Foto,4
728,Beat City,1
729,Beat Down: Fists of Vengeance,4
730,Beat Sketch!,10
731,BeatMania,10
732,BeatMania Append 3rdMix,10
733,BeatMania Append 4thMix: The beat goes on,10
734,BeatMania Append GottaMix,10
735,BeatMania IIDX 11: IIDX Red,10
736,BeatMania IIDX 13: DistorteD,10
737,BeatMania IIDX 14 Gold,10
738,BeatMania IIDX 15: DJ Troopers,10
739,BeatMania IIDX 16: Empress + Premium Best,10
740,BeatMania IIDX 3rd Style,10
741,BeatMania IIDX 4th Style: New Songs Collection,1
742,Beatdown: Fists of Vengeance,4
743,Beaterator,6
744,Beautiful Katamari,1
745,Bee Movie Game,7
746,Beetle Adventure Racing!,11
747,Beijing 2008,6
748,Bejeweled 2 Deluxe,6
749,Bejeweled 3,6
750,Bejeweled Blitz,6
751,Bejeweled Twist,4
752,Bella Sara,2
753,Bella Sara 2 - The Magic of Drasilmare,1
754,Ben 10 Alien Force: Vilgax Attacks,7
755,Ben 10 Galactic Racing,1
756,Ben 10 Omniverse 2,4
757,Ben 10 Triple Pack,5
758,Ben 10 Ultimate Alien: Cosmic Destruction,1
759,Ben 10: Alien Force,1
760,Ben 10: Protector of Earth,1
761,Beowulf: The Game,9
762,Berzerk,4
763,Best Friends Tonight,6
764,Best Of Tests,6
765,Betty Boop's Double Shift,1
766,BeyBlade VForce: Super Tournament Battle,1
767,Beyblade Evolution,1
768,Beyblade G-Revolution,1
769,Beyblade VForce: Ultimate Blader Jam,8
770,Beyblade: Metal Fusion,1
771,Beyblade: Metal Fusion - Battle Fortress,1
772,Beyblade: Metal Masters,2
773,Beyond Good & Evil,8
774,Beyond Oasis,8
775,Beyond The Beyond,2
776,Beyond: Two Souls,4
777,Bicycle Casino 2005,11
778,Big Air,7
779,Big Air Freestyle,9
780,Big Bang Mini,1
781,Big Bass Fishing,11
782,Big Bass World Championship,11
